tag,term,text,url
improvisation,improv,"nto a composed/improvised context is","http://www.rodrigoconstanzo.com/thesis-introduction/#improv,19"
improvisation,improv,"r, who will be improvising, using an","http://www.rodrigoconstanzo.com/thesis-introduction/#improv,20"
improvisation,improv,"lysis tool for improvisation which f","http://www.rodrigoconstanzo.com/thesis-introduction/#improv,21"
improvisation,improv,"thinking about improvisation in a ge","http://www.rodrigoconstanzo.com/thesis-introduction/#improv,22"
improvisation,improv,"reflect on and improve one’s own imp","http://www.rodrigoconstanzo.com/thesis-introduction/#improv,23"
improvisation,improvised,"nto a composed/improvised context is bot","http://www.rodrigoconstanzo.com/thesis-introduction/#improvised,0"
improvisation,improviser," myself, as an improviser, often using i","http://www.rodrigoconstanzo.com/thesis-introduction/#improviser,0"
improvisation,improviser,"as critical of improvisers’ capaci","http://www.rodrigoconstanzo.com/thesis-introduction/#improviser,1"
improvisation,improviser,", stating that improvisers need a &#8220","http://www.rodrigoconstanzo.com/thesis-introduction/#improviser,2"
improvisation,improvising,"r, who will be improvising, using an inst","http://www.rodrigoconstanzo.com/thesis-introduction/#improvising,0"
performance,performer,"; of composer, performer, and listener ","http://www.rodrigoconstanzo.com/thesis-introduction/#performer,0"
performance,performer,"of composer to performer as a top-down ","http://www.rodrigoconstanzo.com/thesis-introduction/#performer,1"
performance,performer," utilizing the performer as his medium,","http://www.rodrigoconstanzo.com/thesis-introduction/#performer,2"
performance,performer," effect by any performer, at any time, ","http://www.rodrigoconstanzo.com/thesis-introduction/#performer,3"
performance,performer,"as a composer, performer, and conductor","http://www.rodrigoconstanzo.com/thesis-introduction/#performer,4"
performance,performer,"ior, which the performers are free to p","http://www.rodrigoconstanzo.com/thesis-introduction/#performer,5"
performance,performer,"otation, where performers are dependent","http://www.rodrigoconstanzo.com/thesis-introduction/#performer,6"
performance,performer,"as a composer, performer, and listener.","http://www.rodrigoconstanzo.com/thesis-introduction/#performer,7"
performance,performer,"e the composer/performer hierarchy. Imp","http://www.rodrigoconstanzo.com/thesis-introduction/#performer,8"
performance,performer,"ocess, as each performer has a say on t","http://www.rodrigoconstanzo.com/thesis-introduction/#performer,9"
performance,performer,"As a performer (of other peop","http://www.rodrigoconstanzo.com/thesis-introduction/#performer,10"
performance,performer," which I was a performer from 2013 to 2","http://www.rodrigoconstanzo.com/thesis-introduction/#performer,11"
performance,performer,"t design. As a performer, the nuanced t","http://www.rodrigoconstanzo.com/thesis-introduction/#performer,12"
performance,performer,"pbringing as a performer and composer o","http://www.rodrigoconstanzo.com/thesis-introduction/#performer,13"
performance,performer,"r myself, as a performer, who will be i","http://www.rodrigoconstanzo.com/thesis-introduction/#performer,14"
performance,performer,"d decouple the performers’ ability to m","http://www.rodrigoconstanzo.com/thesis-introduction/#performer,15"
performance,performer,". For me, as a performer, it is imbued ","http://www.rodrigoconstanzo.com/thesis-introduction/#performer,16"
performance,performed,"in the group I performed on percussion,","http://www.rodrigoconstanzo.com/thesis-introduction/#performed,0"
performance,performed,"have built and performed with many of P","http://www.rodrigoconstanzo.com/thesis-introduction/#performed,1"
performance,performed,"f years I have performed (my own music)","http://www.rodrigoconstanzo.com/thesis-introduction/#performed,2"
performance,performed,"ty of music is performed, generally by ","http://www.rodrigoconstanzo.com/thesis-introduction/#performed,3"
meta,meta,"iano, sticking metal bits into the","http://www.rodrigoconstanzo.com/thesis-introduction/#meta,0"
meta,meta,"ice involves a meta-creativity: a ","http://www.rodrigoconstanzo.com/thesis-introduction/#meta,1"
meta,meta,"ion, analysis, metaphor] are subse","http://www.rodrigoconstanzo.com/thesis-introduction/#meta,2"
meta,meta,"collapsing and meta-creativity is ","http://www.rodrigoconstanzo.com/thesis-introduction/#meta,3"
meta,meta,"mechanisms and metaphors, using an","http://www.rodrigoconstanzo.com/thesis-introduction/#meta,4"
meta,meta,"on itself as a meta-creative proce","http://www.rodrigoconstanzo.com/thesis-introduction/#meta,5"
meta,meta-creative,"on itself as a meta-creative process, and s","http://www.rodrigoconstanzo.com/thesis-introduction/#meta-creative,0"
diy,DIY," performing on DIY/invented instr","http://www.rodrigoconstanzo.com/thesis-introduction/#DIY,0"
diy,DIY,"My interest in DIY instruments st","http://www.rodrigoconstanzo.com/thesis-introduction/#DIY,1"
diy,DIY,"est was to use DIY instruments to","http://www.rodrigoconstanzo.com/thesis-introduction/#DIY,2"
diy,DIY,"in most of the DIY instruments I ","http://www.rodrigoconstanzo.com/thesis-introduction/#DIY,3"
diy,DIY,"ugh most of my DIY instruments ar","http://www.rodrigoconstanzo.com/thesis-introduction/#DIY,4"
diy,DIY,"electronics or DIY instruments. (","http://www.rodrigoconstanzo.com/thesis-introduction/#DIY,5"
diy,DIY," be it through DIY instruments, m","http://www.rodrigoconstanzo.com/thesis-introduction/#DIY,6"
diy,build,"ractice, I was building up a mental","http://www.rodrigoconstanzo.com/thesis-introduction/#build,0"
diy,build," meanings when building and perform","http://www.rodrigoconstanzo.com/thesis-introduction/#build,1"
diy,build,"how I approach building software/ha","http://www.rodrigoconstanzo.com/thesis-introduction/#build,2"
diy,build,"ircuits, makes building the instrum","http://www.rodrigoconstanzo.com/thesis-introduction/#build,3"
diy,build," Designing and building instruments","http://www.rodrigoconstanzo.com/thesis-introduction/#build,4"
diy,build,"ndaries and to build others up anew","http://www.rodrigoconstanzo.com/thesis-introduction/#build,5"
diy,instrument,"r, often using instruments, both softwar","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,0"
diy,instrument,"ons made about instrument and software d","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,1"
diy,instrument,"P. & Multi-instrumentality","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,2"
diy,instrument," most of these instruments professionall","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,3"
diy,instrument," the filter of instrumentality. Being an","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,4"
diy,instrument," instrumentalist, in the b","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,5"
diy,instrument,"arist, the two instruments I had spent t","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,6"
diy,instrument,"h these period instruments of “lat","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,7"
diy,instrument,"d myself as an instrumentalist, and saw ","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,8"
diy,instrument," away from the instruments with which I ","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,9"
diy,instrument,"This multi-instrumentality later fou","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,10"
diy,instrument,"one my general instrumental, interpretiv","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,11"
diy,instrument,"loping a multi-instrumental performance ","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,12"
diy,instrument,". Learning new instruments or performanc","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,13"
diy,instrument,"n DIY/invented instruments which have li","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,14"
diy,instrument,"n dealing with instruments that are some","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,15"
diy,instrument,"ar to existing instruments (Specty, Elec","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,16"
diy,instrument,"g with simpler instruments driven by con","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,17"
diy,instrument,"virtuoso of an instrument made out of on","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,18"
diy,instrument,"g with such an instrument, so what then ","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,19"
diy,instrument,"/hardware/tool/instrument design. from m","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,20"
diy,instrument," dexterity, or instrumentality, as a re-","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,21"
diy,instrument,"tware/hardware instruments. The integrat","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,22"
diy,instrument,"/hardware/tool/instrument design. As a p","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,23"
diy,instrument,"nterest in DIY instruments stems from el","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,24"
diy,instrument," my hands, and instruments were no longe","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,25"
diy,instrument,"he guts of the instruments became part o","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,26"
diy,instrument,"y own hardware instruments was that I co","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,27"
diy,instrument,"hods, but each instrument could imply it","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,28"
diy,instrument,"in bowed/blown instruments. Laurie Spieg","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,29"
diy,instrument,"computer music/instruments: “Creat","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,30"
diy,instrument,"ning and novel instruments only to model","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,31"
diy,instrument,"em on existing instruments and performan","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,32"
diy,instrument,"was to use DIY instruments to craft a ne","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,33"
diy,instrument,"0;most musical instruments are not inten","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,34"
diy,instrument," with hardware instruments is closer to ","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,35"
diy,instrument,"reated his own instruments as a means to","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,36"
diy,instrument,"ost of the DIY instruments I make. Circu","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,37"
diy,instrument,"ory electronic instrument” (Ghazal","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,38"
diy,instrument,"lasser‘s instruments over the year","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,39"
diy,instrument,"s building the instrument an extension o","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,40"
diy,instrument,"g and building instruments in this way c","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,41"
diy,instrument,"most of my DIY instruments are hardware-","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,42"
diy,instrument,"reation of new instruments is part of an","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,43"
diy,instrument," even acoustic instruments. Technology, ","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,44"
diy,instrument,"ry, to develop instruments based upon it","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,45"
diy,instrument," was composing instrumental and mixed mu","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,46"
diy,instrument,"tronics or DIY instruments. (Traditional","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,47"
diy,instrument,"and/or chaotic instruments.","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,48"
diy,instrument,"sing, using an instrument that is unpred","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,49"
diy,instrument,"synchronicity, instrumentation, analysis","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,50"
diy,instrument,"it through DIY instruments, modified ele","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,51"
diy,instrument,"oftware system/instrument built around v","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,52"
diy,instrument,"ing electronic instruments, and how this","http://www.rodrigoconstanzo.com/thesis-introduction/#instrument,53"
software,software,"s, recordings, software, scores, perfo","http://www.rodrigoconstanzo.com/thesis-introduction/#software,0"
software,software," compositions, software, and other sel","http://www.rodrigoconstanzo.com/thesis-introduction/#software,1"
software,software,"truments, both software and hardware b","http://www.rodrigoconstanzo.com/thesis-introduction/#software,2"
software,software,"instrument and software design, to the","http://www.rodrigoconstanzo.com/thesis-introduction/#software,3"
software,software,"en by concept, software, or systematic","http://www.rodrigoconstanzo.com/thesis-introduction/#software,4"
software,software,"integration of software/hardware/tool/","http://www.rodrigoconstanzo.com/thesis-introduction/#software,5"
software,software,"roach building software/hardware instr","http://www.rodrigoconstanzo.com/thesis-introduction/#software,6"
software,software,"integration of software/hardware/tool/","http://www.rodrigoconstanzo.com/thesis-introduction/#software,7"
software,software,"21; and “software”]","http://www.rodrigoconstanzo.com/thesis-introduction/#software,8"
software,software,"lectronics, or software systems. These","http://www.rodrigoconstanzo.com/thesis-introduction/#software,9"
software,software,"lopments) is a software system/instrum","http://www.rodrigoconstanzo.com/thesis-introduction/#software,10"
software,software,"ntation of the software built in Max, ","http://www.rodrigoconstanzo.com/thesis-introduction/#software,11"
software,software," gamepad-based software","http://www.rodrigoconstanzo.com/thesis-introduction/#software,12"
dfscore,dfscore,"tly developed, dfscore system, a real","http://www.rodrigoconstanzo.com/thesis-introduction/#dfscore,0"
dfscore,dfscore,"				dfscore 2.0","http://www.rodrigoconstanzo.com/thesis-introduction/#dfscore,1"
dfscore,dfs,"tly developed, dfscore system, a ","http://www.rodrigoconstanzo.com/thesis-introduction/#dfs,0"
dfscore,dfs,"				dfscore 2.0","http://www.rodrigoconstanzo.com/thesis-introduction/#dfs,1"
controller,controller,"es with monome controllers where the vir","http://www.rodrigoconstanzo.com/thesis-introduction/#controller,0"
controller,controller,"ng an Xbox 360 controller. The chapter e","http://www.rodrigoconstanzo.com/thesis-introduction/#controller,1"
controller,gamepad,"ve – new gamepad-based software","http://www.rodrigoconstanzo.com/thesis-introduction/#gamepad,0"
controller,monome,"t design. from monome.org","http://www.rodrigoconstanzo.com/thesis-introduction/#monome,0"
controller,monome,"formances with monome controllers wh","http://www.rodrigoconstanzo.com/thesis-introduction/#monome,1"
gamepad,controller,"es with monome controllers where the vir","http://www.rodrigoconstanzo.com/thesis-introduction/#controller,0"
gamepad,controller,"ng an Xbox 360 controller. The chapter e","http://www.rodrigoconstanzo.com/thesis-introduction/#controller,1"
form,form," “Non-Performance”)","http://www.rodrigoconstanzo.com/thesis-introduction/#form,0"
form,form,"re, scores, performances, and impr","http://www.rodrigoconstanzo.com/thesis-introduction/#form,1"
form,form,"icance as it informs my general ap","http://www.rodrigoconstanzo.com/thesis-introduction/#form,2"
form,form,"f composer, performer, and listene","http://www.rodrigoconstanzo.com/thesis-introduction/#form,3"
form,form,"osition and performance occupy the","http://www.rodrigoconstanzo.com/thesis-introduction/#form,4"
form,form," composing, performing, and making","http://www.rodrigoconstanzo.com/thesis-introduction/#form,5"
form,form,"composer to performer as a top-dow","http://www.rodrigoconstanzo.com/thesis-introduction/#form,6"
form,form,"ilizing the performer as his mediu","http://www.rodrigoconstanzo.com/thesis-introduction/#form,7"
form,form,"osition->performance) and appar","http://www.rodrigoconstanzo.com/thesis-introduction/#form,8"
form,form,"arging of a performance with an ov","http://www.rodrigoconstanzo.com/thesis-introduction/#form,9"
form,form,"sation in some form or another. Im","http://www.rodrigoconstanzo.com/thesis-introduction/#form,10"
form,form,"e real-time performance of music. ","http://www.rodrigoconstanzo.com/thesis-introduction/#form,11"
form,form,"“primary form of material&#8","http://www.rodrigoconstanzo.com/thesis-introduction/#form,12"
form,form,"fect by any performer, at any time","http://www.rodrigoconstanzo.com/thesis-introduction/#form,13"
form,form,"cting as the information conduit b","http://www.rodrigoconstanzo.com/thesis-introduction/#form,14"
form,form,"a composer, performer, and conduct","http://www.rodrigoconstanzo.com/thesis-introduction/#form,15"
form,form,", which the performers are free to","http://www.rodrigoconstanzo.com/thesis-introduction/#form,16"
form,form,"tion, where performers are depende","http://www.rodrigoconstanzo.com/thesis-introduction/#form,17"
form,form,"a composer, performer, and listene","http://www.rodrigoconstanzo.com/thesis-introduction/#form,18"
form,form,"ough in the performance and evokes","http://www.rodrigoconstanzo.com/thesis-introduction/#form,19"
form,form,"he composer/performer hierarchy. I","http://www.rodrigoconstanzo.com/thesis-introduction/#form,20"
form,form,"ss, as each performer has a say on","http://www.rodrigoconstanzo.com/thesis-introduction/#form,21"
form,form,"hat a given performance will go. T","http://www.rodrigoconstanzo.com/thesis-introduction/#form,22"
form,form,"As a performer (of other pe","http://www.rodrigoconstanzo.com/thesis-introduction/#form,23"
form,form,"/rehearsing/performing. The music ","http://www.rodrigoconstanzo.com/thesis-introduction/#form,24"
form,form,"ations with performance, I felt th","http://www.rodrigoconstanzo.com/thesis-introduction/#form,25"
form,form,"ich I was a performer from 2013 to","http://www.rodrigoconstanzo.com/thesis-introduction/#form,26"
form,form,"the group I performed on percussio","http://www.rodrigoconstanzo.com/thesis-introduction/#form,27"
form,form,"ber-centric performing allowed me ","http://www.rodrigoconstanzo.com/thesis-introduction/#form,28"
form,form,"nstrumental performance practice, ","http://www.rodrigoconstanzo.com/thesis-introduction/#form,29"
form,form,"truments or performance techniques","http://www.rodrigoconstanzo.com/thesis-introduction/#form,30"
form,form,"uilding and performing on DIY/inve","http://www.rodrigoconstanzo.com/thesis-introduction/#form,31"
form,form,"involved in performing with such a","http://www.rodrigoconstanzo.com/thesis-introduction/#form,32"
form,form,"has not only informed how I compos","http://www.rodrigoconstanzo.com/thesis-introduction/#form,33"
form,form,"e and perform music, but als","http://www.rodrigoconstanzo.com/thesis-introduction/#form,34"
form,form,"hn‘s) performances with mono","http://www.rodrigoconstanzo.com/thesis-introduction/#form,35"
form,form,"ents during performance, but from ","http://www.rodrigoconstanzo.com/thesis-introduction/#form,36"
form,form,"esign. As a performer, the nuanced","http://www.rodrigoconstanzo.com/thesis-introduction/#form,37"
form,form,"ruments and performance techniques","http://www.rodrigoconstanzo.com/thesis-introduction/#form,38"
form,form,"e built and performed with many of","http://www.rodrigoconstanzo.com/thesis-introduction/#form,39"
form,form,"xtension of performing with it sin","http://www.rodrigoconstanzo.com/thesis-introduction/#form,40"
form,form,"ted from its informative functiona","http://www.rodrigoconstanzo.com/thesis-introduction/#form,41"
form,form,"inging as a performer and composer","http://www.rodrigoconstanzo.com/thesis-introduction/#form,42"
form,form,"yself, as a performer, who will be","http://www.rodrigoconstanzo.com/thesis-introduction/#form,43"
form,form,"solution using form as the prime c","http://www.rodrigoconstanzo.com/thesis-introduction/#form,44"
form,form,"ecouple the performers’ ability to","http://www.rodrigoconstanzo.com/thesis-introduction/#form,45"
form,form," focal points [form, memory, inter","http://www.rodrigoconstanzo.com/thesis-introduction/#form,46"
form,form,"ain, something formed by the total","http://www.rodrigoconstanzo.com/thesis-introduction/#form,47"
form,form," which we transform the world arou","http://www.rodrigoconstanzo.com/thesis-introduction/#form,48"
form,form,"level deeply informs my creative d","http://www.rodrigoconstanzo.com/thesis-introduction/#form,49"
form,form,"ears I have performed (my own musi","http://www.rodrigoconstanzo.com/thesis-introduction/#form,50"
form,form,"r the fact. Performing in front of","http://www.rodrigoconstanzo.com/thesis-introduction/#form,51"
form,form,"ame itch as performing live. For m","http://www.rodrigoconstanzo.com/thesis-introduction/#form,52"
form,form,"e, as a performer, it is imbue","http://www.rodrigoconstanzo.com/thesis-introduction/#form,53"
form,form,"nd space as performing in front of","http://www.rodrigoconstanzo.com/thesis-introduction/#form,54"
form,form,", nor it is performance. It is som","http://www.rodrigoconstanzo.com/thesis-introduction/#form,55"
form,form,"When I do perform live I prefer ","http://www.rodrigoconstanzo.com/thesis-introduction/#form,56"
form,form,"performing at informal","http://www.rodrigoconstanzo.com/thesis-introduction/#form,57"
form,form,"of music is performed, generally b","http://www.rodrigoconstanzo.com/thesis-introduction/#form,58"
form,form,"ntrast to more formal “conce","http://www.rodrigoconstanzo.com/thesis-introduction/#form,59"
form,form," “Non-Performance”)","http://www.rodrigoconstanzo.com/thesis-introduction/#form,60"
form,form,"og posts which form the central bo","http://www.rodrigoconstanzo.com/thesis-introduction/#form,61"
form,form,"to technology, form a second paral","http://www.rodrigoconstanzo.com/thesis-introduction/#form,62"
form,form,"and aesthetics form an undercurren","http://www.rodrigoconstanzo.com/thesis-introduction/#form,63"
form,form,"h regard to performance using elec","http://www.rodrigoconstanzo.com/thesis-introduction/#form,64"
form,form,"tion to the performative considera","http://www.rodrigoconstanzo.com/thesis-introduction/#form,65"
form,form,"roject would inform the technical ","http://www.rodrigoconstanzo.com/thesis-introduction/#form,66"
form,form,"two blog posts form a central bina","http://www.rodrigoconstanzo.com/thesis-introduction/#form,67"
form,form,"d aesthetics inform each other wit","http://www.rodrigoconstanzo.com/thesis-introduction/#form,68"
form,form," concepts like form and memory to ","http://www.rodrigoconstanzo.com/thesis-introduction/#form,69"
form,form,"and its scope, forms an integral c","http://www.rodrigoconstanzo.com/thesis-introduction/#form,70"
form,form,"oncerns, which form the body of th","http://www.rodrigoconstanzo.com/thesis-introduction/#form,71"
form,form,"			Upcoming Performances						No u","http://www.rodrigoconstanzo.com/thesis-introduction/#form,72"
form,form,"pcoming performances","http://www.rodrigoconstanzo.com/thesis-introduction/#form,73"
form,formal,"erforming at informal “gigs&#8","http://www.rodrigoconstanzo.com/thesis-introduction/#formal,0"
form,formal,"ntrast to more formal “concert","http://www.rodrigoconstanzo.com/thesis-introduction/#formal,1"
memory,memory,"kes, and their memory, and they don’","http://www.rodrigoconstanzo.com/thesis-introduction/#memory,0"
memory,memory,"ith a focus on memory. The piece was","http://www.rodrigoconstanzo.com/thesis-introduction/#memory,1"
memory,memory,"nd recall from memory. Technology, I","http://www.rodrigoconstanzo.com/thesis-introduction/#memory,2"
memory,memory," points [form, memory, interaction, ","http://www.rodrigoconstanzo.com/thesis-introduction/#memory,3"
memory,memory," like form and memory to processes l","http://www.rodrigoconstanzo.com/thesis-introduction/#memory,4"
interaction,interact,"m is a type of interaction or behavior","http://www.rodrigoconstanzo.com/thesis-introduction/#interact,0"
interaction,interact,"ntally complex interactions. But it ce","http://www.rodrigoconstanzo.com/thesis-introduction/#interact,1"
interaction,interact," or systematic interaction. How does o","http://www.rodrigoconstanzo.com/thesis-introduction/#interact,2"
interaction,interact,"[form, memory, interaction, synchronic","http://www.rodrigoconstanzo.com/thesis-introduction/#interact,3"
behavior,behavior,"interaction or behavior, which the per","http://www.rodrigoconstanzo.com/thesis-introduction/#behavior,0"
behavior,behavior,"lationship and behavior-centric approa","http://www.rodrigoconstanzo.com/thesis-introduction/#behavior,1"
behavior,behavior," shift towards behavior/relationship-c","http://www.rodrigoconstanzo.com/thesis-introduction/#behavior,2"
game,game,"fically in his game piece Cobra, r","http://www.rodrigoconstanzo.com/thesis-introduction/#game,0"
game,game,"oach of Zorn’s game pieces, some o","http://www.rodrigoconstanzo.com/thesis-introduction/#game,1"
game,game,"t around video game mechanisms and","http://www.rodrigoconstanzo.com/thesis-introduction/#game,2"
game,game,"lates to video game design, techni","http://www.rodrigoconstanzo.com/thesis-introduction/#game,3"
game,game,"tions of video games as applied to","http://www.rodrigoconstanzo.com/thesis-introduction/#game,4"
game,game,"ve – new gamepad-based softw","http://www.rodrigoconstanzo.com/thesis-introduction/#game,5"
game,challenge,"s identity was challenged during a mome","http://www.rodrigoconstanzo.com/thesis-introduction/#challenge,0"
battle,game,"fically in his game piece Cobra, r","http://www.rodrigoconstanzo.com/thesis-introduction/#game,0"
battle,game,"oach of Zorn’s game pieces, some o","http://www.rodrigoconstanzo.com/thesis-introduction/#game,1"
battle,game,"t around video game mechanisms and","http://www.rodrigoconstanzo.com/thesis-introduction/#game,2"
battle,game,"lates to video game design, techni","http://www.rodrigoconstanzo.com/thesis-introduction/#game,3"
battle,game,"tions of video games as applied to","http://www.rodrigoconstanzo.com/thesis-introduction/#game,4"
battle,game,"ve – new gamepad-based softw","http://www.rodrigoconstanzo.com/thesis-introduction/#game,5"
battle,challenge,"s identity was challenged during a mome","http://www.rodrigoconstanzo.com/thesis-introduction/#challenge,0"
analysis,analysis,"strumentation, analysis, metaphor] are","http://www.rodrigoconstanzo.com/thesis-introduction/#analysis,0"
